,Broker Phone Number,Broker Company Name,Number of listed properties
0,null,null,null
1,+201064247555,                Retaj Real Estate Consultancy,175
2,+201000552273,                Coldwell Banker Platinum,142
3,+201111048006,                Soul For Real Estate,45
4,+201092892866,                Onyx for real estate,340
5,+201009366996,                رؤية للاستثمار العقاري,152
6,+201116759157,                Home Key,73
7,+201050404653,                Emak Realestate,97
8,+201010591385,                lacerta properties,129
9,+201120523333,                RE/MAX Impact,9
10,+201111199110,                EL Bateel for Real Estate,19
11,+201064333222,                Loyalty Real Estate,257
12,+201234555575,                Evernest Estate,153
13,+201050863940,                BYOUT MISR GROUP,517
14,+201023401272,                New Home for Realestate,184
15,+201140004084,                Promise For Real Estate,100
19,+201061144201,                My City Real Estate,170
20,+201022214789,                RE/MAX Avalon,1216
21,+201026960166,                Aqar Share,68
26,+201001483076,                وسيط للتسويق العقاري,142
28,+201091956669,                شركة النسر للاستثمار العقاري والمقاولات العامة,15
29,+201155468540,                Property hills Plus,44
32,+201555550266,                Meamar Real Estate,140
33,+201228032707,                El Massa Real Estate,41
34,+201225151797,                Century 22,251
37,+201063035246,                شقتي للتسويق العقاري و ادارة المشروعات,125
40,+201113377778,                Royal Home,329
49,+201061951911,                BMP,162
52,+201555550266,                Meamar Real Estate,139
56,+201004353926,                La Plage Group,36
61,+201201111720,                Value Estate,65
62,+201115171110,                Zone Properties,216
63,+201121190144,                Plaza Gardens,20
66,+201149679050,                Infinity for  Real Estate,10
70,+201013615156,                Genesis,81
72,+201060172517,                Better Life Real Estate,286
73,+201063000473,                El Wardany Group,24
77,+201001483076,                وسيط للتسويق العقاري,143
81,+201126114730,                The Capital,19
84,+201110708383,                URE-Ultimate Real Estate,1024
87,+201100888203,                Remax Top Agents,76
95,+201006816398,                Your Zone For Real Estate,8
98,+201207233761,                KWE Real Estate,128
100,+201006667804,                Pro Max for Real Estate,516
105,+201111120541,                Home experts,40
108,+201120331170,                Red Stone Real estate,4
109,+201009104100,                Inspectors Real Estate Consultancy,74
113,+201030002538,                Empire real estate and investment,490
114,+201006102105,                Prime,45
116,+201000057258,                ايلاف مصر,81
117,+201001483076,                وسيط للتسويق العقاري,144
119,+201008881386,                Aqar Trend,60
120,+201023240179,                ريماكس هوم ماسترز,356
123,+201020273707,                First Move,49
126,+201002620836,                ARCO West,75
128,+201016611000,                Chances Real Estate,208
130,+201022614123,                Future  Real  Estate,44
132,+201119333913,                Open Home Real Estate,99
134,+201099222621,                KARTAJ REAL ESTATE,46
135,+201118985559,                Dream Homes Real Estate,283
136,+201122655561,                Green Stone Real Estate,514
137,+201141066622,                MERCATO Real Estate,55
138,+201002099549,                New Sakan Real Estate,27
143,+201060484017,                Azura Real Estate,229
144,+20109444901,                IREA Real Estate,7
152,+201015514400,                Location for Real Estate,156
153,+201050774474,                Meeting Points,26
154,+201008502001,                Blom investments,56
159,+201095354446,                lacuna for real estate,7
160,+201000048249,                City Square Real Estate,148
161,+201116555699,                Land Mark Property Finder,50
163,+201024084027,                Adviser Real Estate,1696
168,+201121111535,                HA Group Rehab,476
178,+201226204656,                الحمد للتسويق العقارى,57
182,+201284440141,                Abraj for Real Estate,31
192,+201159058050,                Views for Real Estate,127
200,+201281277170,                KAB For Real Estate,393
202,+201223954594,                Smart Move,216
212,+201003922929,                El Nour Real Estate .,75
216,+201222582885,                TBE,55
218,+201096061009,                Eslam . ElSHIHRY . Group,62
220,+201016164162,                Al Maz Real Estate,430
222,+201001399310,                Property Network,143
227,+201201763620,                Consultants Square,151
232,+201066913334,                الطيار العقارية,92
234,+201012223375,                Union Estates,91
240,+201011157667,                Lasirena Resale,284
241,+201289225412,                El Omda Real Estate,38
242,+201112388480,                Aqar Dayem,59
246,+201274850000,                GIBAL Red Sea,35
247,+201113345494,                Agadir star,124
248,+201009960944,                Eagles,3
250,+201007111169,                RCR for real estate,47
251,+201094001166,                Link Real Estate,43
252,+201091037544,                المؤسسة العقارية للإستثمار والتسويق العقاري,34
254,+201288182682,                New heights,46
257,+201140433702,                Sky view for Real Estate,4
258,+201000052576,                الوطن للتطوير العقاري,27
264,+201110248881,                Zone Properties .,235
267,+201020844778,                City Point For Real Estate,50
269,+201118321817,                Memar Grand City,46
278,+201032977977,                Twist Home,223
292,+201140004007,                الجوهرة للتطوير العقاري ..,13
294,+201156664901,                Contract Real Estate,54
295,+201119991466,                BUROUJ for Real Estate,8
297,+201211243500,                The Deal Real Estate,1052
298,+201093855558,                Open Life,61
299,+201144231447,                Starthomes,151
302,+201029994385,                Urbe real Estate,9
305,+201007363696,                TAI - The Address Investments,1361
306,+201018176995,                Mars RealEstate Agency,12
307,+201551055045,                Green City for real estate,67
313,+201011898024,                Elegant Home,196
314,+201283107571,                الأهرام للتنمية العقارية وإدارة المشروعات,9
320,+201095989966,                Palm House,44
321,+201003904525,                Real Solutions for real estate,5
322,+201095511110,                عبد الدايم تسويق عقارات,12
323,+201222262103,                Property Deal Real Estate Consultancy,612
324,+201146516691,                NOOR Real Estate,13
325,+201003514244,                AMAN For Real Estate,16
327,+201000722872,                عقارات حماد,54
330,+201127105930,                Afnan Real Estate,297
341,+201112929995,                Our Community Real Estate,37
342,+201115257470,                MB Real Estate,509
353,+201096693927,                GoldMark RealEstate,64
354,+201144171433,                INVESTORIA,14
355,+201024423889,                House Gate Real Estate,10
359,+201005544775,                we house real estate,16
364,+201000072353,                Flag square Real Estate,202
373,+201011222366,                One stop Real estate,57
396,+201097927000,                لينك للتسويق العقاري,6
400,+201050623771,                Golden Towers,35
403,+201008059598,                ERE,245
410,+201223150438,                Delma For Real Estate,7
413,+201060843843,                first company for real estate,61
416,+201021232894,                Heart Of The Capital,100
417,+201159444499,                A 2 Z Real Estate,18
420,+201280862222,                New Avenue Real Estate,2604
441,+201022722559,                Proper Homes  Property Management,41
445,+201113160923,                Heritage Property Consultancy,77
449,+201102409292,                Next Consultancy,49
453,+201122191921,                UNIT X Real Estate,619
455,+201208459012,                Element Estate,165
456,+201222311462,                Bunian Real Estate,115
458,+201110056177,                El Sahab For Real Estate,21
463,01007466675 - 01008828884,                Four walls for Real Estate,98
464,01156649944 / 01154736779,                360 Consultancy,282
468,+201004375555,                Shahba properties,190
469,+201092166775,                MNHD,146
470,+201003533310,                Next Door Consultancy,501
471,+201097374150,                Impact  Real Estate,155
480,+201116511600,                Vertex Real Estate,150
489,+201050004914,                YaKan Properties,291
491,+201118620999,                Snap Home Real Estate,424
496,+201000331764,                4C Real Estate,503
499,+201001382299,                Pick Community,59
503,+201030001384,                Mas Egypt Real Estate,262
506,+201021212120,                Green Homes Egypt,65
508,+201033653009,                Zain Real Estate Investment,321
510,+201003258260,                The Rock Home,116
512,+201000369369,                Second Home Real Estate,51
514,+20106644221,                Real Estate Corner,293
518,+201282880355,                Porto Group Holding,100
538,+201111554448,                You Choice Real Estate,102
539,+201101114475,                I Zone,48
541,+201005409000,                Dahab Real Estate,38
544,+201277771011,                EDGE Investment,74
545,+201001188088,                Abrag Real Estate,481
565,+201096074777,                Consultant,23
571,+201225555181,                Broketopia Real Estate,187
578,+201222426419,                Leads Real Estate Consultancy,50
583,+201115611103,                Roots Real estate,75
586,+201202222880,                Bright,147
602,+201119039995,                La Vie Real Estate,49
608,+20219241,                Go Green Egypt Real Estate,495
617,+201224946565,                Egypt Best Properties,1059
622,+201003711198,                A2Z Real Estate,252
631,+201555550266,                Meamar Real Estate,141
632,+201016117846,                Point Mark For Real Estate,417
636,+201008887485,                Win commercial,62
637,+201271779703,                Casablanca for real estate investment,397
638,+201000859886,                Constrade Real Estate,810
639,+201091122223,                sterling real estate,14
646,+201145129715,                Senior Real Estate Development,50
648,+201123739702,                Global For Real Estate,88
661,+201222167633,                ElGammal real estate,300
672,+201284211770,                Amlak Marketing Consultants,79
675,+201110777016,                Season SR,351
679,+201271011648,                Prime development,20
708,+201228990900,                Dar Investment,47
715,+201111038532,                My Home,20
732,+201015001811,                I Hop Real Estate,56
761,+201098814572,                I K P Real Estate,154
843,+201050666090,                Merak Real Estate,224
850,+201019962820,                Grand House Real Estate,71
854,+201009891344,                The Firm,50
856,+201116574440,                Darak Madinaty,193
869,+201061993839,                NCC REAL ESTATE,58
874,+201117298888,                RAMCEES for real estate,17
876,+201000991744,                City Real Estate,21
886,+201120000665,                WHITE HOUSE REAL ESTATE,94
889,+201226080060,                Guides Real Estate,191
899,+201050800596,                Methaq Real Estate,183
909,+201033076999,                Time House,40
919,+201117000797,                Contract Real estate Marketing,114
920,+201226600677,                Platinum Real Estate,405
926,+201023706900,                Salma Eldaly Realestate,15
927,+201023111866,                Dream Yard,12
934,+201014141476,                ياسر هلال,80
935,+201000093009,                Elements Real Estate,19
936,+201060544973,                Variety For Real Estate Investment & Projects Management,78
937,+201271760444,                Egypt Best Properties West,1042
940,+201286372040,                Shield - DR3,145
944,+201555684640,                Up Edge,147
947,+201224287778,                Concept-Development,75
949,+20112303967,                Full House,134
950,+201066204908,                Osoul Misr,150
961,+201277071559,                Privilege For Real Estate,180
965,+201006385806,                Pinnacle Homes,117
975,+201223408533,                Premier Group,50
977,+201007400041,                المختاار للتسويق العقاري,55
979,01000409200 01208002001,                ROYAL HOME.,215
985,+201068340014,                Trust brokerage,49
990,+201011740960,                Avadar Properties,105
991,+201050005001,                Hills Estate,75
999,+201119549995,                Sky Home,66
1002,+201050888224,                Remax Pro,119
1005,+20233055227,                RE/MAX Everest,272
1006,+201142222535,                ELP,76
1013,+201001414045,                K M O Real Estate,56
1014,+201101118864,                الياسين العقارية,22
1020,+201064096939,                SAMA Real Estate Investment,64
1023,+201119938060,                Realpals Real Estate,40
1029,+201066828205,                تنمية لإدارة المشروعات العقارية,19
1030,+201272935000,                Golden Home,75
1032,+201023235043,                Sakany Real Estate Agency,24
1037,+201002800098,                Insider Real Estate Consultancy,1373
1038,null,null,
1041,+201010700422,                Chalehak real estate,47
1043,+201060606111,                Brick Real Estate,68
1047,+201114666583,                Sweet Home,190
1055,+201100179079,                La Verde Developments,23
1066,+201001277949,                Eastmark Real Estate,25
1074,+201113333757,                Roots Development,342
1078,+201001150129,                Signature Real Estate Consultancy,299
1086,+201129253858,                Concept Homes,95
1093,+201276013659,                EGY EMIRATES,140
1100,+201200093055,                GR Properties,53
1103,+201003352200,                BRIXWELL PROPERTIES,560
1104,+201096963555,                Green Homes Real estate Agency,934
1114,+201006214433,                SA Developments,68
1117,01124876894 / 01003178066,                Al-Morshady Group,46
1119,+201021325306,                Investory Real Estate,380
1130,+201000080903,                Sedra Real Estate,502
1135,+201066661712,                7G Real Estate Advisors,60
1144,20227507530 - 01015005003,                ERA Real Estate Egypt,167
1153,+201026040740,                New Castle,101
1171,+201122882277,                Ventures,99
1173,+201006666662,                ILG,104
1175,+201022421334,                Meeza for Realestate,187
1185,+201115084447,                O ZED Real Estate,66
1189,+201117281113,                C C R E,505
1192,+201067986010,                Eltaamer Arabian,20
1200,+201008202789,                Aldiyer Alasrea Real Estate,53
1208,+201148999980,                MOVE EGYPT,124
1219,+201111122282,                Home Finder Real Estate,112
1220,+201150866991,                El Sawy Group for Real Estate Investment,98
1228,+201119990756,                West Field,124
1249,+201222145988,                Anchor Estate,99
1255,+201010423936,                D M D Real Estate,3
1262,+201030077112,                Allocate Real Estate,408
1268,+201091998889,                Home Hunters EG,30
1281,+201281811669,                التميز جروب للتجارة و المقاولات,124
1285,+201033340222,                عمار للتطوير العقاري,143
1289,+201093310331,                Westgate,54
1302,+201012275007,                Elevation Real Estate,143
1316,+201206206073,                RE/MAX Re ADVISOR,367
1320,+201000273234,                Number One Real Estate,103
1325,+201285231347,                C Zone Real Estate,470
1328,+201027411990,                شركه مسك,329
1331,+201100995929,                EGY PLAN - Property,34
1342,+201110146344,                Due Diligence Real Estate,52
1346,+201025964636,                MA Ville,16
1357,+201020055010,                Rodeo Real Estate,46
1360,+201006198838,                Axis Group,88
1368,+201119995212,                Better View,46
1382,+201159797971,                Paradise Real Estate,75
1399,+201288744799,                Homes Egypt,83
1400,+201000244082,                Blu Real Estate Marketing,209
1415,+201140004084,                Promise For Real Estate,99
1418,+201111113285,                remax empire,42
1419,+201116814441,                Cropleads For Real Estate & investment,168
1423,+201027509177,                Castle properties,107
1424,+201002627899,                Qurtouba Real Estate,113
1425,+201155864526,                المختار للعقارات والتشطيبات,44
1437,+201004733371,                ROI For Real Estate,86
1439,+201140110051,                New Chapter Real Estate,33
1448,+201102115551,                Aqar Misr,39
1454,+201032033320,                T4P,672
1469,+201202229997,                Shaghaf Real Estate Consultancy,38
1472,+201222202912,                helaly group,51
1482,+201000610696,                I properties Real Estate Consultant,75
1492,+201280200002,                Global Building Real Estate Marketing & Development,148
1493,19664,                Units Real Estate,101
1500,+201118836812,                Heart Of The Capital for Resale,286
1505,+201000111182,                Eureka Real Estate,153
1507,+201067068100,                Conline,49
1515,+201110248881,                Zone Properties .,236
1517,+201001342546,                RE/MAX Royal,49
1519,+201123992133,                Myamy Life Real Estate,25
1528,+201028367449,                Elnashar For Real Estate,2
1529,+201222805412,                سفنكس للتسويق العقارى,22
1530,+201008832291,                Right Move,322
1542,+201277341122,                الهداية للعقارات,12
1545,+201150866686,                Happy Homes,11
1546,+201011100938,                Foton Real Estate,32
1550,+201000720520,                Wdeals for real estate,255
1552,+201007007005,                Gaby's Homes,100
1553,+201150645313,                A.M CONSULTANT,19
1575,+201113148321,                Orion Real Estate,43
1585,+201050833902,                VIP,164
1586,+201101201714,                Speed Consultancy,33
1596,+201025982510,                شركة مباشر العقارية,66
1597,+201097737347,                EMERALD REAL ESTATE,18
1598,+201212226902,                Adwar For Real Estate,26
1600,+201271077012,                Good Vibe Homes,98
1603,+201006325569,                New land Group,33
1619,+201110248881,                MOCKUP Real Estate Company,111
1625,+201146361007,                Business Bay,70
1653,+201016638300,                Arab City Group,75
1655,+201018044114,                SFR Real Estate,57
1664,+201008893192,                NEW WAY INVESTMENTS,224
1666,+201008780888,                رابح للتسويق العقاري,46
1671,+201281357045,                Alarabia for Real Estate Investments,50
1678,+201095070466,                Future Home RealEstate,48
1680,+201128335123,                الاستثمار المصري,92
1687,+201000043569,                نيبتون للاستثمار العقاري,28
1694,+201066280660,                Egy Property Real Estate,200
1695,+201099227303,                Image Investments,100
1697,+201150668608,                Madinaty  Heights,148
1740,+201004351429,                Up City Real Estate,139
1745,+201012235652,                بيتي للمقاولات,44
1749,+201024715555,                Remaal Properties,76
1753,+201016012229,                Remax The Address,561
1768,+201119666683,                MR For Realestate,36
1784,+201000771679,                GRS Real Estate,101
1792,+201062831111,                Concept Real Estate,127
1816,+201155001010,                Sign for Real Estate co.,39
1842,+201112222617,                Prime Community ,351
1844,+201222126844,                RE/MAX Al Mohager,437
1869,+201013000905,                Concept group,98
1872,+201275832366,                GR Real Estate,183
1879,+201144005000,                Gate real estate marketing,615
1883,+201001302673,                Conquer Properties,55
1889,+201000046952,                Romance Resort,72
1917,16223,                CBE New Homes,977
1926,+201023088999,                Rexford Real Estate,42
1928,+201060646073,                Evara,824
1931,+201228771997,                الشرق للتنمية العمرانية,6
1952,+201113377778,                Royal Home,336
1957,+201090666661,                Khaled Youssef Real Estate,38
1978,+201145353533,                Elkhatib Real Estate,39
1979,+201092385010,                Bagdadi,41
1983,+201227483522,                Beyout Zayed For Real Estate,47
1987,+201102226641,                Property insider,123
2007,+201068049685,                Escan For Real Estate,48
2012,+201224114112,                Mint  Real estate,185
2013,+201122011461,                أملاك للتسويق العقاري,49
2037,+201001090433,                Premium Homes,100
2048,+201033939396,                Capital Broker,151
2050,+201111509444,                Stock exchange,99
2064,+201023418113,                Wall Street Real Estate,32
2088,+201228777901,                Al-Masryia Group,7
2105,+201159665553,                NP Real Estate,74
2109,+201000957577,                Remax Relax II,99
2125,+201018976800,                M W Real Estate,18
2127,+201203088830,                United Consulting,50
2163,+201154434359,                Property Hills  One,663
2174,+201119393293,                Experience Real Estate,82
2175,+201550864008,                Alpha Properties,48
2180,+201114030555,                Manazel Real Estate,238
2181,+201030322229,                المتحدة للتسويق العقاري,35
2190,+201222491388,                Remax Icons,32
2197,+201120000665,                WHITE HOUSE REAL ESTATE,91
2208,+201099178778,                Iconic,17
2212,+201062235482,                شركه الفتح للتسويق العقاري,12
2219,+201113334606,                KH Real estate,76
2222,+201122982118,                Benna Real Estate,78
2235,+201004039639,                Broker Egypt,155
2242,+201101445500,                Iconic Consultancy,138
2246,+201094832305,                Faten for Real Estate,50
2251,+201007607215,                ABAZA for real estate,49
2271,+201001164012,                Concept Realestate,102
2274,+201023700050,                New Towers,41
2278,+201507770709,                Smart Solutions for Real Estate,90
2299,+201141192598,                FIP Milestone,45
2342,+201005551531,                Avenues Real Estate,49
2350,+201227777999,                Luxury Property,631
2353,+201101338685,                شمس العقارية,7
2374,+201226630003,                ALBENAA for real estate,35
2378,+201002971885,                GPM Group for Property management,92
2383,+201008351267,                IMKAN Investments,535
2391,+201111267411,                New . Home,25
2395,+201142792686,                New Concept Home,89
2396,+201011605586,                Brokers East,76
2399,+201222284495,                 Pro-Homes,71
2429,+201001009587,                Najd Real Estate,151
2449,+201026011998,                Elshams Real Estate,553
2466,+201104347257,                Alamaken Real Estate,30
2494,+201012155166,                Admiral Real Estate,113
2499,+201090009407,                El Safwaa for Real Estate,26
2509,+201000275354,                Concept Egypt,365
2525,+201091999867,                Quest Properties,164
2546,+201112211210,                Beeyoot Real Estate,50
2567,+201004006009,                Real Estate House,30
2603,+201060719179,                East New Cairo,44
2620,+201101445500,                Home Advisor,57
2622,+201101400108,                Amr Group,47
2639,+201001307937,                souroh altayben for real estate,18
2640,+201061111107,                Pulse consultancy,137
2643,+201211688995,                Propx for Real Estate,104
2659,+223921111,                District Real Estate,155
2662,+201014131371,                Diar Real Estate,50
2671,+201010895234,                جارك العقارية,39
2682,+201010007514,                Step One Real Estate,506
2716,+201000084354,                Celeste Development,73
2727,+201272775002,                21 REALTY Real Estate Experts,39
2733,+201117339336,                Hk Realestate,19
2806,+201110002520,                New Capital For Real Estate,92
2827,+201111533319,                Details Real Estate,48
2842,+201110006466,                Ovak,67
2853,+201090301212,                EGO Real Estate,149
2858,+201006308674,                Ebied Home,38
2859,+201015179639,                المصطفي,23
2866,+201153070806,                اختيارك للاستثمار العقاري,72
2871,+201559625666,                GREEN HOUSE,76
2874,+201225774423,                DADDY ESTATE,86
2933,+201001861138,                i-design,45
2945,+201099909052,                Egy Nile,48
2970,+201005269826,                AMAKEN Misr,48
2971,+201000446619,                الرضوان العقاريه,25
2977,+201158701701,                ROInvestment,46
2978,+201159878787,                B Real Estate,47
2980,+201030955500,                West Ridge Real Estate,159
3011,+201124277770,                Home's,295
3022,+201223750997,                Scale for Real estate investments,146
3034,+201032310448,                INJAZ,116
3053,+201029933715,                City Properties,101
3071,+201032700080,                Property Outlet,33
3076,+201067081111,                Property Today,50
3101,+201092441976,                Realogy for Real Estate,73
3159,+201050382245,                Elmostafa Realstate,332
3163,+201028662002,                classico real estate,18
3175,+201227268946,                Scout Real Estate,64
3186,+201117290999,                Abyat Masr,49
3194,+201016511110,                Gold Real Estate,252
3202,+201008730051,                Lamiaa Shaheen,5
3230,+201005538649,                I-Move,201
3249,+201281641376,                مكتب الخالدية,45
3251,+201000253253,                معمار للتطوير العقاري,21
3252,+971585891309,                PF Flex Test Account,6
3259,+201147297852,                GPR Property,1288
3276,+201009333833,                Remax Today,61
3281,+201094216444,                Creative Team,25
3303,+201000391679,                Fine & Home,17
3370,+201101709595,                Find House Real Estate,54
3383,+201066664367,                Huxley consultancy,50
3426,+201200100885,                Assets Real Estate Investments,69
3428,+201222811440,                A.R.E for Real Estate Investment,108
3429,+201061113585,                Royal Eagle Investments,27
3455,+201116661423,                3M international,103
3492,+201021882610,                Bigger Asset,157
3493,+201144231447,                Starthomes,155
3496,+20111666360,                Property Nation,119
3542,+201123000129,                Connect Homes Real Estate,294
3600,+201008252396,                Dream Get,50
3616,+201282442204,                Al Masa Real Estate,50
3617,+201117711117,                Properties-Today.com,479
3618,+201113333516,                العامر للتسويق العقاري,40
3640,+201050750772,                Squares for real estate,36
3641,+201110002923,                Request real estate,87
3678,+201222242488,                Coldwell Banker New Alex,88
3692,+201000081544,                Blue Reef Real Estate,167
3709,+201011760198,                The Way,103
3718,+201091020455,                Hills Real Estate company,54
3720,+201007316637,                أولاد منصور للإستثمار العقاري,26
3734,+201067586866,                Reach holding For Real Estate & Investments,41
3779,+201158449116,                VScope Engineering Consultancy & Real Estate,47
3786,+201005899892,                عقار مارينا,21
3815,+201066660459,                CRV Real Estate Brokerage,39
3821,+201006589219,                الطيار عقار,43
3837,+201092440322,                First Capitals  For Real Estate,39
3893,+201050501424,                Prime Consultancy,286
3964,+201027748333,                Oscar,165
3969,+201016566697,                Oriental House,43
3984,+201001483076,                وسيط للتسويق العقاري,147
4001,+201099006199,                Next Home Real Estate,192
4006,+201009856515,                orange groupe,3
4014,+201016393998,                تراست االعقارية,47
4016,+201200005899,                صروح العقارية,50
4019,+201013707361,                Al Beltagy Real Estate,55
4020,+201222104791,                Nile House For Real Estate,79
4029,+201228434349,                OSOL,250
4042,+201280609898,                Red Sea Pro,56
4043,+201000071683,                Lines Real Estate,292
4077,+201033338873,                Integrated Realtors Group for Real Estate,447
4106,+201093221467,                مكتب الساعة للعقارات,13
4127,+201066681050,                كايرو للعقارات,24
4135,+201159444499,                A 2 Z Real Estate,16
4136,+201012445262,                El Akadeen Group,20
4147,+201146234020,                Engaz for Real Estate,127
4151,+201000040385,                MoveIn Egypt,65
4159,+201111133316,                Golden Vision,77
4175,+201009501111,                Amwaj,18
4176,+201226060595,                Presentation,49
4182,+201100644515,                نور الهدي للتسويق العقاري,15
4193,+201019021496,                مكتب سكر مصر,2
4200,+201000005070,                Birdnest,16
4217,+201090409289,                sokr masr real-estate,18
4227,+201144661513,                Finder for Real Estate,10
4243,+201000333379,                K-WEST,99
4299,+201001195902,                چيران للاستثمار و التطوير العقاري,68
4313,+201033399794,                Aqar House,13
4334,+201147797161,                Glory For Real Estate,50
4358,+201068848681,                Edge Stone for Real Estate,106
4364,+201220229914,                Arabian Estate,90
4403,+201124097321,                Riva Investment,95
4418,+201157627131,                Smart Broker,60
4430,+201223555389,                Estate Eight,98
4447,+201000880131,                El-Hussieny Zain Realestate Firm,69
4463,+201008550701,                Better Life,49
4487,+201000073001,                Tasweeq For Real Estate,165
4514,+201003175732,                Smart Group,106
4522,+201288886664,                Reec Home,255
4535,+201289646925,                الفتح للعقارات,105
4567,+201061815207,                القدس العقاريه,48
4575,+201004039639,                Broker Egypt,157
4580,+201141713300,                OSOUl Properties Real Estate,27
4623,+201100997777,                Turky Real Estate,133
4630,+201004846094,                Remax Station,69
4688,+201022220977,                Houseology,70
4692,+201287000103,                West Capital,98
4701,+201001581463,                B2C Real Estate Marketing,20
4755,+201001938300,                الأوائل العقارية,10
4760,+201144442131,                Smart Move For Real Estate,60
4788,+201060501064,                ريماكس العقاريه,9
4792,+201009328857,                ربيع ابو حمد للاستثمار والتسويق العقاري,25
4802,+201159001130,                القائد للعقارات,42
4820,+201116030313,                H S Real Estate,132
4826,+201000581992,                Horizon real estate company,127
4891,+201005720420,                Renzo Technology,51
4927,+201017800001,                Horizon Estate,139
4930,+201141469888,                ستايل هوم,5
4963,+201102020784,                MADAEN For Real Estate,50
4971,+201000545707,                Milestone Marketing and Real Estate Investments,47
5034,+201030001384,                Mas Egypt Real Estate,266
5043,+201010353999,                smart Home Real Estate,105
5063,+2012222163409,                Remax 360,129
5104,+201001305303,                Sanabel Real Estate,4
5135,+201099219277,                Land/Max,249
5136,+201000847267,                New Way Real Estate,82
5147,+201002032244,                ديار مصر للتسويق والاستثمار العقاري,25
5158,+201022734090,                FG Properties,363
5165,+201100997788,                Sakan Property,18
5170,+201000400991,                Byout Misr Real Estate,259
5193,+201008176267,                Stella Di Marie,16
5242,+201019977900,                Falcon for Real Estate,249
5262,+201006710998,                Smart Assets Real Estate,85
5280,+201022747616,                Allam Amr For Real Estate,162
5320,+201002320247,                Go Homes,45
5424,+201007883737,                Home Approach,26
5429,+201013505159,                Sky view Real Estate,9
5432,+201066557279,                الدولية العقارية للتسويق العقاري,42
5441,+201223504028,                Emtedad,45
5453,+201006229434,                One Broker Real Estate,49
5458,+201098099013,                El Magd for Real Estate,5
5472,+201116030313,                H S Real Estate,131
5488,+201201406400,                Remax Style,45
5493,+201210045034,                Your Home for Real Estate,106
5591,+201000067130,                Prime Estates,51
5612,+201005080951,                IRTKAZ,965
5649,+201067271794,                Corredo,44
5650,+201000053016,                Iskan,221
5656,+201001958592,                Capital Group,39
5657,+201023919999,                INVEST PRO,28
5658,+201101177742,                New Capital Home,170
5714,+201091990333,                Niche Investments,164
5742,+201022000961,                Blue Rock Real Estate,151
5786,+201116858071,                IQ EGYPT,15
5857,+201002000662,                Flatex for Real Estate,144
5859,+201032977977,                Twist Home,224
5889,+201222386505,                ZAD Developments,84
5897,+201159331111,                El Aqaria Group,76
5900,+201115666784,                Mohamed Magdy Real Estate,35
5926,+201027271818,                Concept Property,165
5953,+201003083029,                Al Wafrah Investment,49
5962,+201153030919,                R.T.MAX REAL ESTATE,63
5971,+201050801615,                Lemar Egypt Development,87
5990,+201015945299,                Assec Properties,24
6019,+201111117877,                WB Properties,36
6065,+201013704448,                -رواسي للاستثمار العقاري-,45
6130,+201115777945,                ثقة العقارية,48
6146,+201118507000,                Cairo Aqar Real Estate,144
6161,+201018005496,                H.G group - اتش جي جروب,18
6222,+201010472308,                Hegazy For Real Estate,9
6227,+201000179248,                الماسة للتسويق العقاري,23
6230,+201154911519,                Zawaya Real Estate,122
6243,+201112388480,                Aqar Dayem,60
